id,carat,cut,color,clarity,depth,table,price
0,1.14,5,4,6,61.0,56.0,9013
1,0.76,5,3,4,62.7,57.0,2692
2,0.84,5,4,5,61.4,56.0,4372
3,1.55,5,3,5,62.0,57.0,13665
4,0.3,5,4,2,61.9,57.0,422
5,0.4,5,5,6,62.4,56.0,1088
6,1.52,1,1,5,65.4,58.0,7186
7,1.13,5,5,3,59.7,57.0,5342
8,0.41,5,6,7,61.9,55.0,1367
9,0.24,3,5,6,62.0,58.0,552
10,0.81,5,6,3,61.9,55.0,3913
11,1.2,3,2,3,63.1,61.0,4301
12,1.24,5,6,4,62.0,57.0,9240
13,1.0,3,7,4,63.1,59.0,6440
14,0.51,3,4,3,61.9,57.0,1261
15,0.38,5,2,5,62.3,53.4,703
16,0.46,5,6,7,62.6,57.0,1661
17,0.51,5,7,5,60.7,57.0,1826
18,0.35,3,3,3,60.0,61.0,491
19,0.3,3,4,6,63.2,57.0,878
20,0.35,3,5,2,62.8,55.0,460
21,0.4,3,6,3,62.0,61.0,687
22,1.2,3,5,4,62.9,55.0,8454
23,0.41,3,6,7,61.2,62.0,1184
24,1.02,3,7,3,62.8,56.0,6047
25,0.3,4,3,3,62.9,58.0,540
26,0.4,5,6,4,61.9,54.0,1020
27,1.07,5,3,2,59.2,57.0,4314
28,1.02,4,3,4,61.0,60.0,4958
29,1.22,4,5,4,59.8,59.0,8417
30,0.91,4,6,5,62.9,56.0,5228
31,0.54,5,6,3,61.5,56.0,1720
32,0.51,3,6,4,63.3,55.0,1638
33,2.03,3,2,4,59.9,59.0,16422
34,0.32,4,3,4,60.7,58.0,505
35,1.5,3,1,6,63.3,57.0,8427
36,1.21,4,1,5,61.0,60.0,4675
37,0.27,5,4,4,61.5,56.0,490
38,0.3,5,6,6,61.9,57.0,1013
39,1.01,2,3,2,64.1,56.0,3111
40,0.46,3,6,4,62.6,58.0,1245
41,0.27,3,7,5,59.9,58.0,470
42,1.0,4,6,5,63.0,60.0,7096
43,0.31,5,4,4,62.0,57.0,698
